iter	Passed	Remaining
699	942	403
700	943	402
701	944	400
702	945	399
703	946	397
704	947	396
705	948	394
706	949	393
707	950	392
708	951	390
709	952	389
710	954	387
711	955	386
712	956	384
713	957	383
714	958	382
715	959	380
716	960	379
717	961	377
718	962	376
719	963	374
720	964	373
721	965	371
722	966	370
723	967	368
724	968	367
725	969	365
726	970	364
727	971	362
728	972	361
729	973	359
730	973	358
731	974	356
732	975	355
733	976	353
734	977	352
735	978	351
736	979	349
737	980	348
738	981	346
739	982	345
740	983	343
741	984	342
742	986	341
743	987	339
744	988	338
745	989	336
746	990	335
747	991	334
748	992	332
749	993	331
750	995	329
751	996	328
752	997	327
753	998	325
754	999	324
755	1000	322
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1007	312
763	1008	311
764	1008	309
765	1009	308
766	1010	307
767	1011	305
768	1012	304
769	1013	302
770	1014	301
771	1015	299
772	1016	298
773	1017	297
774	1018	295
775	1019	294
776	1020	292
777	1021	291
778	1022	290
779	1023	288
780	1024	287
781	1025	285
782	1025	284
783	1026	282
784	1027	281
785	1028	280
786	1029	278
787	1031	277
788	1032	276
789	1033	274
790	1034	273
791	1036	272
792	1037	270
793	1038	269
794	1039	268
795	1040	266
796	1041	265
797	1043	264
798	1044	262
799	1045	261
800	1047	260
801	1048	258
802	1049	257
803	1050	256
804	1052	254
805	1053	253
806	1054	252
807	1055	250
808	1057	249
809	1058	248
810	1059	246
811	1060	245
812	1061	244
813	1063	242
814	1064	241
815	1065	240
816	1066	238
817	1067	237
818	1068	236
819	1069	234
820	1071	233
821	1072	232
822	1073	230
823	1074	229
824	1075	228
825	1076	226
826	1077	225
827	1078	224
828	1080	222
829	1081	221
830	1082	220
831	1083	218
832	1084	217
833	1085	216
834	1086	214
835	1087	213
836	1088	211
837	1089	210
838	1090	209
839	1091	207
840	1092	206
841	1092	205
842	1094	203
843	1095	202
844	1096	201
845	1097	199
846	1098	198
847	1099	197
848	1100	195
849	1102	194
850	1103	193
851	1104	191
852	1105	190
853	1106	189
854	1107	187
855	1109	186
856	1110	185
857	1111	183
858	1112	182
859	1113	181
860	1114	179
861	1115	178
862	1116	177
863	1117	175
864	1118	174
865	1119	173
866	1120	171
867	1121	170
868	1122	169
869	1122	167
870	1123	166
871	1124	165
872	1125	163
873	1126	162
874	1127	161
875	1128	159
876	1129	158
877	1130	157
878	1131	155
879	1132	154
880	1133	153
881	1134	151
882	1135	150
883	1136	149
884	1137	147
885	1138	146
886	1139	145
887	1140	143
888	1141	142
889	1143	141
890	1144	139
891	1145	138
892	1146	137
893	1147	136
894	1148	134
895	1149	133
896	1150	132
897	1151	130
898	1152	129
899	1153	128
900	1154	126
901	1155	125
902	1156	124
903	1157	122
904	1158	121
905	1159	120
906	1160	118
907	1160	117
908	1161	116
909	1162	115
910	1164	113
911	1165	112
912	1166	111
913	1167	109
914	1168	108
915	1169	107
916	1171	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1179	95
925	1180	94
926	1181	93
927	1182	91
928	1184	90
929	1185	89
930	1186	87
931	1187	86
932	1188	85
933	1190	84
934	1191	82
935	1192	81
936	1193	80
937	1194	78
938	1196	77
939	1197	76
940	1198	75
941	1200	73
942	1201	72
943	1202	71
944	1203	70
945	1205	68
946	1206	67
947	1207	66
948	1208	64
949	1210	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1216	57
955	1217	56
956	1218	54
957	1219	53
958	1220	52
959	1221	50
960	1222	49
961	1224	48
962	1225	47
963	1226	45
964	1227	44
